rank,score,hidden,competition,mli,county,state,metro,legal,legal_note,homes_sold,population,pop_growth_4yr,permits_2025,permits_per_1k,median_price,months_supply,median_dom,sale_to_list,price_yoy,sales_yoy,period
11,99.5,13.2,86.3,42.9,"Ellis County, TX",TX,"Dallas, TX",Disclosure,Must disclose equitable interest when marketing,326,232387,0.1958492857436911,3678,15.83,409445.0,3.8,59.0,0.9856639874,-0.001231857544,0.03821656051,2026-05-31
12,99.4,66.4,33.0,12.5,"Long County, GA",GA,"Hinesville, GA",Mktg limits,No public property ads without ownership/license,40,20439,0.25670191834727,275,13.45,293500.0,8.0,72.0,1.000445172,-0.01839464883,-0.1489361702,2026-05-31
13,99.4,25.4,74.0,33.8,"Jackson County, GA",GA,"Jefferson, GA",Mktg limits,No public property ads without ownership/license,164,93825,0.22263487099296325,1827,19.47,423245.0,4.6,63.0,0.9887739498,-0.01570930233,0.03144654088,2026-05-31
14,99.3,53.1,46.2,25.6,"Dawson County, GA",GA,"Atlanta, GA",Mktg limits,No public property ads without ownership/license,48,33748,0.24710838476035624,1069,31.68,442000.0,6.2,49.0,0.9789166886,-0.07512031806,-0.05882352941,2026-05-31
15,99.3,25.8,73.5,59.3,"Barrow County, GA",GA,"Atlanta, GA",Mktg limits,No public property ads without ownership/license,151,96294,0.14627526605242483,1584,16.45,359900.0,3.6,41.0,0.9869009329,-0.009903713893,-0.1793478261,2026-05-31
16,99.2,0.4,98.8,43.6,"Collin County, TX",TX,"Dallas, TX",Disclosure,Must disclose equitable interest when marketing,1603,1254658,0.1664173602776365,19082,15.21,476000.0,4.1,49.0,0.9754496056,-0.008333333333,-0.05927230047,2026-05-31
17,99.2,98.5,0.7,0.1,"Custer County, CO",CO,Colorado nonmetropolitan area,Clear,"Generally permitted; use 'and/or assigns', market privately",11,5553,0.17523809523809525,78,14.05,357000.0,13.7,183.0,0.9538737133,-0.4532924962,-0.08333333333,2026-05-31
18,99.1,4.7,94.4,34.4,"Marion County, FL",FL,"Ocala, FL",Clear,"Generally permitted; use 'and/or assigns', market privately",893,428905,0.13628054595934977,5985,13.95,279990.0,4.1,63.0,0.9765924886,-0.03418420145,0.08373786408,2026-05-31
19,99.1,3.7,95.4,34.0,"Manatee County, FL",FL,"North Port, FL",Clear,"Generally permitted; use 'and/or assigns', market privately",1066,458352,0.1411897102907052,11015,24.03,414535.0,3.7,64.0,0.9665461265,-0.02462352941,0.003766478343,2026-05-31
20,99.0,1.4,97.6,40.8,"Fort Bend County, TX",TX,"Houston, TX",Disclosure,Must disclose equitable interest when marketing,1037,958434,0.15566568395159977,12487,13.03,399872.0,4.1,50.0,0.9710028517,0.006406569912,-0.1650563607,2026-05-31
21,99.0,9.0,90.0,82.1,"Canyon County, ID",ID,"Boise City, ID",Clear,"Generally permitted; use 'and/or assigns', market privately",495,266892,0.14530684758680176,3929,14.72,443000.0,1.9,36.0,0.9933230746,0.02666311313,0.06223175966,2026-05-31
22,98.9,0.4,98.5,21.1,"Lee County, FL",FL,"Cape Coral, FL",Clear,"Generally permitted; use 'and/or assigns', market privately",2001,860959,0.1246045409540131,13547,15.73,360000.0,4.9,67.0,0.9607438427,-0.02106078941,0.0005,2026-05-31
23,98.9,2.2,96.7,48.9,"Pasco County, FL",FL,"Tampa, FL",Clear,"Generally permitted; use 'and/or assigns', market privately",1048,659114,0.1641380333532327,7878,11.95,365000.0,3.7,47.0,0.9750588377,0.04285714286,-0.1669316375,2026-05-31
24,98.8,5.9,92.9,37.3,"St. Johns County, FL",FL,"Jacksonville, FL",Clear,"Generally permitted; use 'and/or assigns', market privately",819,334928,0.2086681943667563,4735,14.14,517000.0,3.6,65.0,0.9766756052,0.03506715424,0.04464285714,2026-05-31
25,98.8,14.1,84.7,36.1,"Johnson County, TX",TX,"Fort Worth, TX",Disclosure,Must disclose equitable interest when marketing,279,210547,0.16356452058579718,2356,11.19,335000.0,3.9,68.0,0.9864685527,-0.05633802817,0.02573529412,2026-05-31
26,98.7,8.3,90.4,21.0,"Charlotte County, FL",FL,"Punta Gorda, FL",Clear,"Generally permitted; use 'and/or assigns', market privately",686,212122,0.128206491966152,3015,14.21,335000.0,4.3,74.0,0.957738576,0.0618066561,0.02848575712,2026-05-31
27,98.7,56.9,41.8,2.7,"Hendry County, FL",FL,"Clewiston, FL",Clear,"Generally permitted; use 'and/or assigns', market privately",28,46130,0.16129194673111297,470,10.19,286099.0,9.1,90.0,0.9524939772,-0.05717910694,-0.125,2026-05-31
28,98.6,6.8,91.8,59.5,"Benton County, AR",AR,"Fayetteville, AR",Clear,"Generally permitted; use 'and/or assigns', market privately",633,321566,0.12192058502342815,6307,19.61,389250.0,3.7,37.0,0.9828969397,-0.007015306122,-0.0566318927,2026-05-31
29,98.6,10.8,87.8,50.2,"Johnston County, NC",NC,"Raleigh, NC",License req'd,HB 707 (Oct 2025): wholesaling defined as brokerage,363,249794,0.14886904050113603,3002,12.02,355000.0,3.7,52.0,0.9876167145,-0.02592948278,-0.08333333333,2026-05-31
30,98.5,34.4,64.1,35.7,"Bryan County, GA",GA,"Savannah, GA",Mktg limits,No public property ads without ownership/license,110,51105,0.13455732172986412,733,14.34,435495.0,3.4,77.0,0.9890986489,-0.02682681564,0.170212766,2026-05-31
31,98.5,5.3,93.2,46.1,"Lake County, FL",FL,"Orlando, FL",Clear,"Generally permitted; use 'and/or assigns', market privately",683,444204,0.15007844903919346,5342,12.03,380000.0,3.7,54.0,0.9814615448,-0.02564102564,0.004411764706,2026-05-31
32,98.4,19.4,79.0,16.6,"Rockwall County, TX",TX,"Dallas, TX",Disclosure,Must disclose equitable interest when marketing,192,137044,0.25495870039010277,1591,11.61,420000.0,5.7,76.0,0.973790073,-0.005917159763,-0.1688311688,2026-05-31
33,98.4,40.0,58.4,3.1,"Burnet County, TX",TX,Texas nonmetropolitan area,Disclosure,Must disclose equitable interest when marketing,63,55722,0.1261747407991269,736,13.21,329999.0,11.1,80.0,0.9739977731,-0.1008201635,-0.16,2026-05-31
34,98.3,26.3,72.0,4.3,"Liberty County, TX",TX,"Houston, TX",Disclosure,Must disclose equitable interest when marketing,105,115042,0.2435628580693979,1010,8.78,270000.0,6.3,111.0,0.9474786472,-0.03914590747,-0.16,2026-05-31
35,98.3,0.8,97.5,37.6,"Polk County, FL",FL,"Lakeland, FL",Clear,"Generally permitted; use 'and/or assigns', market privately",1114,852878,0.16803961768278738,8236,9.66,316945.0,4.2,59.0,0.9822791445,-0.006410859275,-0.152851711,2026-05-31
36,98.2,6.2,92.0,11.4,"St. Lucie County, FL",FL,"Port St. Lucie, FL",Clear,"Generally permitted; use 'and/or assigns', market privately",551,390670,0.17863036677014793,4008,10.26,385000.0,6.1,85.0,0.9669012875,0.0,-0.13771518,2026-05-31
37,98.2,35.6,62.6,25.0,"Chambers County, TX",TX,"Houston, TX",Disclosure,Must disclose equitable interest when marketing,87,56179,0.1952215816011744,564,10.04,371990.0,4.1,78.0,0.9745535644,0.02091280841,-0.03333333333,2026-05-31
38,98.1,16.6,81.5,5.9,"Walton County, FL",FL,"Crestview, FL",Clear,"Generally permitted; use 'and/or assigns', market privately",398,89666,0.18151032401734066,2399,26.75,744500.0,6.3,104.0,0.957837672,0.2726495726,0.4906367041,2026-05-31
39,98.1,28.0,70.1,42.5,"Pender County, NC",NC,"Wilmington, NC",License req'd,HB 707 (Oct 2025): wholesaling defined as brokerage,142,70077,0.15590927835051546,833,11.89,476627.0,3.8,61.0,0.9884927899,0.06155370944,0.06766917293,2026-05-31
40,98.0,55.5,42.5,68.2,"New Kent County, VA",VA,"Richmond, VA",Clear,"Generally permitted; use 'and/or assigns', market privately",49,27218,0.1769436997319035,295,10.84,463000.0,3.1,45.0,1.003928796,-0.003636833158,0.2564102564,2026-05-31
41,98.0,70.4,27.6,0.6,"Gulf County, FL",FL,Florida nonmetropolitan area,Clear,"Generally permitted; use 'and/or assigns', market privately",38,15876,0.1134020618556701,302,19.02,466250.0,10.1,120.0,0.951391511,0.03911299309,0.1875,2026-05-31
42,97.9,15.7,82.2,7.4,"Washington County, UT",UT,"St. George, UT",Mktg limits,No public property ads without ownership/license,190,207943,0.14236193134061056,2857,13.74,548873.5,10.2,51.0,0.9837847161,-0.001049231049,-0.1324200913,2026-05-31
43,97.9,26.3,71.6,94.2,"Boone County, IN",IN,"Indianapolis, IN",Disclosure,Assignment disclosure required; else 'deceptive act',148,78773,0.10740443957094457,1195,15.17,410300.0,1.2,19.0,0.9877619268,-0.0112657389,0.264957265,2026-05-31
44,97.8,29.6,68.2,72.6,"Union County, OH",OH,"Columbus, OH",Disclosure,SB 155: bold written disclosure or seller can cancel,120,71721,0.13680456490727533,968,13.5,514569.5,2.5,41.0,0.9927835561,0.03797633048,0.25,2026-05-31
45,97.8,9.8,88.0,13.2,"Bay County, FL",FL,"Panama City, FL",Clear,"Generally permitted; use 'and/or assigns', market privately",463,199718,0.1442337991211335,2072,10.37,357500.0,6.3,76.0,0.966993986,0.007141549167,0.07925407925,2026-05-31
46,97.7,14.0,83.7,39.6,"Harnett County, NC",NC,"Fayetteville, NC",License req'd,HB 707 (Oct 2025): wholesaling defined as brokerage,327,146096,0.09258428310748153,2205,15.09,337000.0,3.5,71.0,0.9914886461,0.006566577509,0.03481012658,2026-05-31
47,97.7,40.1,57.6,51.4,"McClain County, OK",OK,"Oklahoma City, OK",License req'd,SB 1075 (Nov 2025) closed the double-close loophole,68,48434,0.15566690527320448,393,8.11,290000.0,4.1,49.0,0.9954838275,-0.01661580197,0.1525423729,2026-05-31
48,97.6,45.2,52.4,25.3,"Wakulla County, FL",FL,"Tallahassee, FL",Clear,"Generally permitted; use 'and/or assigns', market privately",63,37115,0.09474087838834322,518,13.96,285900.0,4.4,75.0,0.978409798,-0.0482689747,0.08620689655,2026-05-31
49,97.6,23.5,74.1,75.9,"Hancock County, IN",IN,"Indianapolis, IN",Disclosure,Assignment disclosure required; else 'deceptive act',174,88810,0.10763282614118234,1212,13.65,349745.0,1.8,43.0,0.9867388805,-0.02577994429,0.09433962264,2026-05-31
50,97.5,44.0,53.5,11.2,"Caldwell County, TX",TX,"Austin, TX",Disclosure,Must disclose equitable interest when marketing,47,52430,0.14107251675807433,443,8.45,237990.0,6.2,82.0,0.9634374847,-0.2529076612,-0.02083333333,2026-05-31
51,97.5,21.5,76.0,40.9,"Lancaster County, SC",SC,"Charlotte, NC",Mktg limits,HB 4754: no advertising property you don't own,165,111652,0.1559135332118602,1110,9.94,435000.0,4.3,56.0,0.9880706055,-0.08421052632,0.0248447205,2026-05-31
52,97.4,28.5,68.9,50.9,"Franklin County, NC",NC,"Raleigh, NC",License req'd,HB 707 (Oct 2025): wholesaling defined as brokerage,115,79771,0.15563249695775627,735,9.21,393000.0,4.1,44.0,0.9848749829,-0.003802281369,0.07476635514,2026-05-31
53,97.4,21.8,75.6,15.7,"Hunt County, TX",TX,"Dallas, TX",Disclosure,Must disclose equitable interest when marketing,148,118729,0.1843291770573566,834,7.02,283990.0,5.8,71.0,0.9614084577,0.01428622451,-0.2780487805,2026-05-31
54,97.3,74.8,22.5,31.7,"Jasper County, GA",GA,"Atlanta, GA",Mktg limits,No public property ads without ownership/license,28,17219,0.17375596455351056,124,7.2,299950.0,4.0,60.0,0.9592748732,-0.1686046028,0.3333333333,2026-05-31
55,97.3,5.2,92.1,44.4,"Spartanburg County, SC",SC,"Spartanburg, SC",Mktg limits,HB 4754: no advertising property you don't own,601,369256,0.12097873438472397,3986,10.79,289000.0,3.8,59.0,0.9885387248,0.03251161129,-0.2275064267,2026-05-31
56,97.2,16.2,81.0,10.4,"Grayson County, TX",TX,"Sherman, TX",Disclosure,Must disclose equitable interest when marketing,229,150532,0.10561725130736235,1881,12.5,315000.0,6.2,88.0,0.9679925031,-0.05908638782,-0.06147540984,2026-05-31
57,97.2,11.7,85.5,31.2,"Citrus County, FL",FL,"Homosassa Springs, FL",Clear,"Generally permitted; use 'and/or assigns', market privately",408,170174,0.1009581481409597,2102,12.35,280000.0,3.8,68.0,0.9679775345,0.009009009009,0.2401215805,2026-05-31
58,97.1,13.0,84.1,39.5,"Wilson County, TN",TN,"Nashville, TN",Clear,"Generally permitted; use 'and/or assigns', market privately",318,169948,0.14326846102616195,1982,11.66,515000.0,3.6,66.0,0.9843687221,0.04042505909,0.1080139373,2026-05-31
59,97.1,31.8,65.3,39.0,"Loudon County, TN",TN,"Knoxville, TN",Clear,"Generally permitted; use 'and/or assigns', market privately",105,62129,0.1268318340104469,869,13.99,565000.0,4.1,61.0,0.9872566963,0.1188118812,0.2068965517,2026-05-31
60,97.0,13.0,84.0,10.2,"Comal County, TX",TX,"San Antonio, TX",Disclosure,Must disclose equitable interest when marketing,263,201628,0.2321663193532025,1726,8.56,439900.0,7.2,80.0,0.9775457191,0.06,-0.285326087,2026-05-31
61,97.0,28.4,68.6,46.5,"Bulloch County, GA",GA,"Statesboro, GA",Mktg limits,No public property ads without ownership/license,105,85454,0.0692710027778473,1389,16.25,295000.0,2.9,65.0,0.9817504176,-0.078125,0.25,2026-05-31
62,96.9,61.4,35.5,33.7,"Crook County, OR",OR,"Prineville, OR",Register,HB 4058: register with the OR Real Estate Agency,34,27336,0.09651022864019254,414,15.14,494950.0,6.3,42.0,0.9937898419,0.1248863636,0.0303030303,2026-05-31
63,96.9,32.9,64.0,21.6,"Iron County, UT",UT,"Cedar City, UT",Mktg limits,No public property ads without ownership/license,85,65936,0.14252049002789763,678,10.28,460000.0,7.0,46.0,0.9785971799,0.08235294118,-0.1747572816,2026-05-31
64,96.8,19.9,76.9,22.5,"Maury County, TN",TN,"Nashville, TN",Clear,"Generally permitted; use 'and/or assigns', market privately",186,113411,0.11366314466396953,1408,12.42,435995.0,5.2,71.0,0.9809091547,0.02611202636,-0.05583756345,2026-05-31
65,96.8,66.8,30.0,1.1,"San Jacinto County, TX",TX,Texas nonmetropolitan area,Disclosure,Must disclose equitable interest when marketing,24,29326,0.06492846248819813,523,17.83,307500.0,8.0,183.0,0.9599880413,0.3085106383,-0.2258064516,2026-05-31
66,96.7,8.0,88.7,30.7,"Montgomery County, TN",TN,"Clarksville, TN",Clear,"Generally permitted; use 'and/or assigns', market privately",437,246025,0.11168095287584327,2723,11.07,345000.0,4.2,74.0,0.9892261155,0.04577144589,-0.0353200883,2026-05-31
67,96.7,-1.5,98.2,48.5,"Denton County, TX",TX,"Dallas, TX",Disclosure,Must disclose equitable interest when marketing,1391,1045120,0.1428196520541055,10210,9.77,460000.0,4.0,46.0,0.9801926519,0.02222222222,-0.04002760524,2026-05-31
68,96.6,0.6,96.0,30.1,"Sarasota County, FL",FL,"North Port, FL",Clear,"Generally permitted; use 'and/or assigns', market privately",1193,476604,0.09248698012176337,6627,13.9,425000.0,3.9,63.0,0.9584090419,0.02409638554,0.04010462075,2026-05-31
69,96.6,19.7,76.9,35.5,"Nassau County, FL",FL,"Jacksonville, FL",Clear,"Generally permitted; use 'and/or assigns', market privately",200,104376,0.14653543653060327,1060,10.16,527599.5,4.0,62.0,0.9757296474,0.01559095284,0.005025125628,2026-05-31
70,96.5,12.5,84.0,21.7,"Kaufman County, TX",TX,"Dallas, TX",Disclosure,Must disclose equitable interest when marketing,267,197829,0.344230102806977,1069,5.4,305240.0,5.6,67.0,0.9819477367,0.01746666667,-0.2917771883,2026-05-31
71,96.5,6.4,90.1,36.7,"Berkeley County, SC",SC,"Charleston, SC",Mktg limits,HB 4754: no advertising property you don't own,501,264276,0.14154154500060473,2299,8.7,404990.0,3.8,71.0,0.9914429251,-0.02382645375,-0.1608040201,2026-05-31
72,96.4,16.5,79.9,48.7,"Dallas County, IA",IA,"Des Moines, IA",Mktg limits,No public property ads without ownership/license,268,115343,0.14718929026098027,875,7.59,369962.5,2.9,67.0,0.9915573564,-0.03276513418,0.072,2026-05-31
73,96.4,-0.6,97.0,32.0,"Williamson County, TX",TX,"Austin, TX",Disclosure,Must disclose equitable interest when marketing,1046,727480,0.1816818841156472,4956,6.81,408000.0,4.3,65.0,0.9783762817,-0.04,0.009652509653,2026-05-31
74,96.3,54.2,42.1,28.7,"Edgefield County, SC",SC,"Augusta, GA",Mktg limits,HB 4754: no advertising property you don't own,44,29455,0.14731429906906088,194,6.59,319900.0,1.6,114.0,0.9892667087,0.08257191201,0.2222222222,2026-05-31
75,96.3,11.0,85.3,19.2,"Guadalupe County, TX",TX,"San Antonio, TX",Disclosure,Must disclose equitable interest when marketing,331,195166,0.12352914085707048,1697,8.7,298290.0,5.0,79.0,0.9765925379,0.0218490504,-0.1985472155,2026-05-31
76,96.2,5.3,90.9,29.4,"Baldwin County, AL",AL,"Daphne, AL",Clear,"Generally permitted; use 'and/or assigns', market privately",656,261608,0.12160655793932534,2665,10.19,398000.0,4.4,64.0,0.9709581869,0.04742354861,0.06493506494,2026-05-31
77,96.2,87.3,8.9,57.8,"Boise County, ID",ID,"Boise City, ID",Clear,"Generally permitted; use 'and/or assigns', market privately",25,8581,0.1197964243768759,108,12.59,545880.0,4.2,38.0,0.991834585,-0.01108695652,0.6666666667,2026-05-31
78,96.1,88.3,7.8,69.6,"Cook County, GA",GA,Georgia nonmetropolitan area,Mktg limits,No public property ads without ownership/license,11,17984,0.043397540032490134,278,15.46,235500.0,2.1,29.0,0.9494329907,0.1053743253,-0.45,2026-05-31
79,96.1,47.2,48.9,2.3,"Polk County, TX",TX,Texas nonmetropolitan area,Disclosure,Must disclose equitable interest when marketing,34,54258,0.07447967205972632,661,12.18,236522.5,10.1,75.0,0.9383380342,0.266519411,0.1333333333,2026-05-31
80,96.0,73.3,22.7,3.5,"Simpson County, KY",KY,Kentucky nonmetropolitan area,License req'd,HB 62: marketing an equitable interest = brokerage,24,20350,0.03673136685516328,396,19.46,246745.0,5.9,177.0,0.9788707317,-0.1264117543,0.0,2026-05-31
81,96.0,9.1,86.9,42.6,"Hernando County, FL",FL,"Tampa, FL",Clear,"Generally permitted; use 'and/or assigns', market privately",369,218150,0.11512096877252351,1975,9.05,315000.0,3.5,60.0,0.9788364744,-0.04915994035,-0.04404145078,2026-05-31
82,95.9,38.4,57.5,34.5,"Currituck County, NC",NC,"Virginia Beach, VA",License req'd,HB 707 (Oct 2025): wholesaling defined as brokerage,101,32278,0.1363892409519786,325,10.07,549900.0,4.0,69.0,0.9857147972,0.145625,0.2168674699,2026-05-31
83,95.9,67.3,28.6,78.3,"Waynesboro, VA",VA,"Staunton, VA",Clear,"Generally permitted; use 'and/or assigns', market privately",28,23498,0.054809893612245815,353,15.02,344230.0,3.3,22.0,0.9938043786,0.0642448601,-0.5,2026-05-31
84,95.8,27.3,68.5,66.3,"Jefferson County, WV",WV,"Washington, DC",Clear,"Generally permitted; use 'and/or assigns', market privately",146,61264,0.060205935796486976,1324,21.61,419500.0,2.7,49.0,0.9958223628,0.1640732853,0.1774193548,2026-05-31
85,95.8,26.1,69.7,22.0,"Wise County, TX",TX,"Fort Worth, TX",Disclosure,Must disclose equitable interest when marketing,120,81275,0.17899210862249043,402,4.95,376605.0,4.3,86.0,0.9840945308,-0.05256603774,0.1320754717,2026-05-31
86,95.7,21.5,74.2,73.8,"Wagoner County, OK",OK,"Tulsa, OK",License req'd,SB 1075 (Nov 2025) closed the double-close loophole,170,91257,0.12107959361678604,680,7.45,298000.0,2.3,39.0,0.987221843,-0.006666666667,0.08974358974,2026-05-31
87,95.7,10.0,85.7,30.9,"Sumner County, TN",TN,"Nashville, TN",Clear,"Generally permitted; use 'and/or assigns', market privately",337,211721,0.07243946915206159,3045,14.38,434000.0,4.4,70.0,0.987369555,0.0188989318,0.127090301,2026-05-31
88,95.6,61.1,34.5,27.8,"Monroe County, GA",GA,"Macon, GA",Mktg limits,No public property ads without ownership/license,28,31437,0.12038917994226452,258,8.21,358000.0,4.0,72.0,0.9694588306,-0.07612903226,-0.2,2026-05-31
89,95.6,17.8,77.8,17.9,"Warren County, KY",KY,"Bowling Green, KY",License req'd,HB 62: marketing an equitable interest = brokerage,152,147936,0.09555442003065917,1453,9.82,299990.0,4.8,88.0,0.9808186664,-0.04765079365,0.01333333333,2026-05-31
90,95.5,16.2,79.3,67.5,"Berkeley County, WV",WV,"Hagerstown, MD",Clear,"Generally permitted; use 'and/or assigns', market privately",200,136287,0.11074254883902884,1140,8.36,330000.0,2.6,49.0,0.9959690611,0.1102606589,-0.2537313433,2026-05-31
91,95.5,37.7,57.8,55.3,"Louisa County, VA",VA,Virginia nonmetropolitan area,Clear,"Generally permitted; use 'and/or assigns', market privately",79,42109,0.11446644082151175,404,9.59,446000.0,3.7,49.0,0.9936924144,-0.008668593021,0.253968254,2026-05-31
92,95.4,43.3,52.1,23.9,"Marshall County, TN",TN,"Lewisburg, TN",Clear,"Generally permitted; use 'and/or assigns', market privately",60,37847,0.09790554653051751,367,9.7,344500.0,4.5,78.0,0.9816886125,0.1642446773,-0.1304347826,2026-05-31
93,95.4,24.5,70.9,63.6,"Tooele County, UT",UT,"Salt Lake City, UT",Mktg limits,No public property ads without ownership/license,129,84488,0.15183160420444167,523,6.19,466000.0,2.8,48.0,0.9899764176,0.001074113856,0.1120689655,2026-05-31
94,95.3,50.7,44.6,64.7,"Jefferson County, ID",ID,"Idaho Falls, ID",Clear,"Generally permitted; use 'and/or assigns', market privately",42,34854,0.12135641207129529,312,8.95,460000.0,2.0,51.0,,-0.04613789528,0.1666666667,2026-05-31
95,95.3,83.2,12.1,49.1,"Camden County, NC",NC,"Virginia Beach, VA",License req'd,HB 707 (Oct 2025): wholesaling defined as brokerage,24,11184,0.07466128567310464,144,12.88,407500.0,2.9,69.0,0.996359209,-0.1222118108,0.5,2026-05-31
96,95.2,52.5,42.7,13.5,"Union County, GA",GA,Georgia nonmetropolitan area,Mktg limits,No public property ads without ownership/license,49,27601,0.11289867344058707,264,9.56,449500.0,6.6,66.0,0.9567936225,0.1986666667,0.0,2026-05-31
97,95.2,51.3,43.9,97.0,"Goochland County, VA",VA,"Richmond, VA",Clear,"Generally permitted; use 'and/or assigns', market privately",50,28223,0.13468419571422827,314,11.13,697000.0,1.5,17.0,1.010432275,0.1813559322,0.5151515152,2026-05-31
98,95.1,-0.8,95.9,61.1,"Utah County, UT",UT,"Provo, UT",Mktg limits,No public property ads without ownership/license,758,747234,0.1260205603927632,7202,9.64,549945.0,3.7,41.0,0.9940866488,0.07485659002,-0.1103286385,2026-05-31
99,95.1,4.1,91.0,75.6,"Durham County, NC",NC,"Durham, NC",License req'd,HB 707 (Oct 2025): wholesaling defined as brokerage,504,343628,0.06549665896652765,4772,13.89,428000.0,2.7,31.0,0.9863686419,-0.01609195402,0.1224944321,2026-05-31
100,95.0,4.3,84.9,59.9,"Canadian County, OK",OK,"Oklahoma City, OK",License req'd,SB 1075 (Nov 2025) closed the double-close loophole,336,181760,0.16928817266557303,370,2.04,270000.0,3.2,46.0,0.9877166575,-0.03571428571,-0.09189189189,2026-05-31
101,95.0,21.9,73.1,30.6,"Lincoln County, NC",NC,"Charlotte, NC",License req'd,HB 707 (Oct 2025): wholesaling defined as brokerage,143,97611,0.11979029242047058,785,8.04,410000.0,3.7,74.0,0.9754215623,-0.0386869871,0.1085271318,2026-05-31
102,94.9,13.0,81.9,92.5,"Tippecanoe County, IN",IN,"Lafayette, IN",Disclosure,Assignment disclosure required; else 'deceptive act',197,191650,0.0282148816198207,3979,20.76,305000.0,1.7,18.0,0.991342764,-0.04672605095,-0.02475247525,2026-05-31
103,94.9,8.0,86.9,34.6,"Santa Rosa County, FL",FL,"Pensacola, FL",Clear,"Generally permitted; use 'and/or assigns', market privately",384,207653,0.09856524637343801,1929,9.29,354950.0,3.9,71.0,0.9876808334,0.01414285714,-0.1597374179,2026-05-31
104,94.8,23.5,71.3,11.9,"Waller County, TX",TX,"Houston, TX",Disclosure,Must disclose equitable interest when marketing,175,65109,0.13650089895093298,339,5.21,345000.0,4.6,76.0,0.9128905299,0.06153846154,0.01156069364,2026-05-31
105,94.8,35.7,59.1,7.6,"Kendall County, TX",TX,"San Antonio, TX",Disclosure,Must disclose equitable interest when marketing,73,51828,0.16279278470788835,351,6.77,599900.0,5.5,110.0,0.9722985742,0.07125,-0.1978021978,2026-05-31
106,94.7,64.4,30.3,92.9,"King William County, VA",VA,"Richmond, VA",Clear,"Generally permitted; use 'and/or assigns', market privately",37,19232,0.07309452070081464,215,11.18,337500.0,2.1,21.0,1.009566335,-0.1176470588,0.2333333333,2026-05-31
107,94.7,80.4,14.3,23.2,"Hart County, KY",KY,Kentucky nonmetropolitan area,License req'd,HB 62: marketing an equitable interest = brokerage,15,19923,0.032493781094527364,272,13.65,240000.0,4.8,63.0,0.9581279773,0.2631578947,0.1538461538,2026-05-31
108,94.6,58.7,35.9,6.7,"Madison County, ID",ID,"Rexburg, ID",Clear,"Generally permitted; use 'and/or assigns', market privately",17,55549,0.04983746598125189,842,15.16,459000.0,8.2,80.0,,0.2753542651,-0.3461538462,2026-05-31
